Accession	Kingdom	Family	Genus	Species	Molecule_type	Length	Nuc_Completeness	Geo_Location	BioSample	Lat_long	Gene_Description	Host	Host_Disease
GCA_016600355.1	Bacteria	Francisellaceae	Francisella	Francisella philomiragia	dsDNA	1957710	Scaffold	China:Guangdong, Guangzhou	SAMN16048014		Francisella philomiragia genome		Potential pathogen
GCA_016127375.1	Bacteria	Streptococcaceae	Lactococcus	Lactococcus garvieae	dsDNA	2292160	Complete	Germany:Braunschweig	SAMN16357171		Lactococcus garvieae genome		Potential pathogen
GCA_016128155.1	Bacteria	Streptococcaceae	Lactococcus	Lactococcus garvieae	dsDNA	2034670	Complete	Germany:Braunschweig	SAMN16357231		Lactococcus garvieae genome		Potential pathogen
GCA_016128255.1	Bacteria	Streptococcaceae	Lactococcus	Lactococcus garvieae	dsDNA	2213070	Complete	Germany:Braunschweig	SAMN16357232		Lactococcus garvieae genome		Potential pathogen
GCA_019846895.1	Bacteria	Vibrionaceae	Vibrio	Vibrio splendidus	dsDNA	5454020	Scaffold	China	SAMN17207716		Vibrio splendidus genome		Potential pathogen
GCA_019846165.1	Bacteria	Vibrionaceae	Vibrio	Vibrio anguillarum	dsDNA	4198110	Scaffold	China	SAMN17214698		Vibrio anguillarum genome		Potential pathogen
GCA_019846205.1	Bacteria	Vibrionaceae	Vibrio	Vibrio anguillarum	dsDNA	3992250	Scaffold	China	SAMN17215217		Vibrio anguillarum genome		Potential pathogen
GCA_016939875.1	Bacteria	Hafniaceae	Edwardsiella	Edwardsiella tarda	dsDNA	3638760	Chromosome	Thailand:Trang	SAMN17914389		Edwardsiella tarda genome		Potential pathogen
GCA_018348525.1	Bacteria	Streptococcaceae	Lactococcus	Lactococcus garvieae	dsDNA	2239620	Contig	Montenegro	SAMN19004952		Lactococcus garvieae genome		Potential pathogen
GCA_020026015.1	Bacteria	Hafniaceae	Edwardsiella	Edwardsiella tarda	dsDNA	3306930	Contig	Antarctica:King George Island	SAMN19315077	62.22 S 58.79 E	Edwardsiella tarda genome	Leptonychotes weddellii	Potential pathogen
GCA_018860405.1	Bacteria	Vibrionaceae	Vibrio	Vibrio splendidus	dsDNA	5381720	Scaffold	USA:Massachusetts, Nahant, Canoe Beach	SAMN19350956	42.25 N 70.54 W	Vibrio splendidus genome		Potential pathogen
GCA_018729395.1	Bacteria	Vibrionaceae	Vibrio	Vibrio splendidus	dsDNA	5285620	Scaffold	USA:Massachusetts, Nahant, Canoe Beach	SAMN19351437	42.25 N 70.54 W	Vibrio splendidus genome		Potential pathogen
GCA_018790505.1	Bacteria	Vibrionaceae	Vibrio	Vibrio anguillarum	dsDNA	4045230	Contig	Denmark	SAMN19374459		Vibrio anguillarum genome	Turbot	Potential pathogen
GCA_018789755.1	Bacteria	Vibrionaceae	Vibrio	Vibrio anguillarum	dsDNA	4049330	Contig	Denmark	SAMN19374460		Vibrio anguillarum genome	Turbot	Potential pathogen
GCA_018790445.1	Bacteria	Vibrionaceae	Vibrio	Vibrio anguillarum	dsDNA	4045700	Contig	Denmark	SAMN19374461		Vibrio anguillarum genome	Turbot	Potential pathogen
GCA_018790395.1	Bacteria	Vibrionaceae	Vibrio	Vibrio anguillarum	dsDNA	4046230	Contig	Denmark	SAMN19374462		Vibrio anguillarum genome	Turbot	Potential pathogen
GCA_018790385.1	Bacteria	Vibrionaceae	Vibrio	Vibrio anguillarum	dsDNA	4047980	Contig	Denmark	SAMN19374463		Vibrio anguillarum genome	Turbot	Potential pathogen
GCA_018790425.1	Bacteria	Vibrionaceae	Vibrio	Vibrio anguillarum	dsDNA	4046230	Contig	Denmark	SAMN19374464		Vibrio anguillarum genome	Turbot	Potential pathogen
GCA_018790365.1	Bacteria	Vibrionaceae	Vibrio	Vibrio anguillarum	dsDNA	4046730	Contig	Denmark	SAMN19374465		Vibrio anguillarum genome	Turbot	Potential pathogen
GCA_018790295.1	Bacteria	Vibrionaceae	Vibrio	Vibrio anguillarum	dsDNA	4034690	Contig	Denmark	SAMN19374466		Vibrio anguillarum genome	Turbot	Potential pathogen
GCA_018790285.1	Bacteria	Vibrionaceae	Vibrio	Vibrio anguillarum	dsDNA	4035900	Contig	Denmark	SAMN19374467		Vibrio anguillarum genome	Turbot	Potential pathogen
GCA_018790325.1	Bacteria	Vibrionaceae	Vibrio	Vibrio anguillarum	dsDNA	4037490	Contig	Denmark	SAMN19374468		Vibrio anguillarum genome	Turbot	Potential pathogen
GCA_018789815.1	Bacteria	Vibrionaceae	Vibrio	Vibrio anguillarum	dsDNA	4035300	Contig	Denmark	SAMN19374469		Vibrio anguillarum genome	Turbot	Potential pathogen
GCA_018789775.1	Bacteria	Vibrionaceae	Vibrio	Vibrio anguillarum	dsDNA	4035240	Contig	Denmark	SAMN19374470		Vibrio anguillarum genome	Turbot	Potential pathogen
GCA_018789795.1	Bacteria	Vibrionaceae	Vibrio	Vibrio anguillarum	dsDNA	4035710	Contig	Denmark	SAMN19374471		Vibrio anguillarum genome	Turbot	Potential pathogen
GCA_018789715.1	Bacteria	Vibrionaceae	Vibrio	Vibrio anguillarum	dsDNA	4036330	Contig	Denmark	SAMN19374472		Vibrio anguillarum genome	Turbot	Potential pathogen
GCA_018789735.1	Bacteria	Vibrionaceae	Vibrio	Vibrio anguillarum	dsDNA	4036330	Contig	Denmark	SAMN19374473		Vibrio anguillarum genome	Turbot	Potential pathogen
GCA_019933175.1	Bacteria	Hafniaceae	Edwardsiella	Edwardsiella tarda	dsDNA	3802890	Chromosome	Germany:Braunschweig	SAMN20888890		Edwardsiella tarda genome		Potential pathogen
GCA_020782075.1	Bacteria	Vibrionaceae	Vibrio	Vibrio anguillarum	dsDNA	4207670	Contig	China:Wuhan	SAMN22211692		Vibrio anguillarum genome		Potential pathogen
GCA_020806295.1	Bacteria	Vibrionaceae	Vibrio	Vibrio splendidus	dsDNA	6026710	Scaffold	USA:Massachusetts, Nahant, Canoe Cove	SAMN22346945	42.419611 N 70.906722 W	Vibrio splendidus genome		Potential pathogen
GCA_020806315.1	Bacteria	Vibrionaceae	Vibrio	Vibrio splendidus	dsDNA	5584170	Scaffold	USA:Massachusetts, Nahant, Canoe Cove	SAMN22346948	42.419611 N 70.906722 W	Vibrio splendidus genome		Potential pathogen
GCA_020806245.1	Bacteria	Vibrionaceae	Vibrio	Vibrio splendidus	dsDNA	6175550	Scaffold	USA:Massachusetts, Nahant, Canoe Cove	SAMN22346952	42.419611 N 70.906722 W	Vibrio splendidus genome		Potential pathogen
GCA_020686745.1	Bacteria	Vibrionaceae	Vibrio	Vibrio coralliilyticus	dsDNA	5922600	Scaffold	USA:Hawaii, Kaneohe Bay	SAMN22513949		Vibrio coralliilyticus genome	Montipora capitata	Potential pathogen
HG992588.1	Virus	Siphoviridae	Mardecavirus	Vibrio phage B1_1	dsDNA	77004	Partial	Atlantic Ocean	SAMEA8001816		Vibrio phage B1_1 genome assembly, chromosome: 1	Vibrio	Potential pathogen
MT896428.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	837	Partial	China:Zhejiang	SAMN03274780		UNVERIFIED: White spot syndrome virus variant Zhejiang isolate AP1 genomic sequence	Crustacea	Potential pathogen
KU925493.1	Virus	Nairoviridae	Orthonairovirus	Sakhalin orthonairovirus	ssRNA(-)	1608	Partial	Australia:Macquarie Island, Southern Ocean	SAMN04530550	54.50 S 159.00 E	Taggert virus strain Ml14850 segment S, partial sequence	Ixodes uriae	Potential pathogen
KU925492.1	Virus	Nairoviridae	Orthonairovirus	Sakhalin orthonairovirus	ssRNA(-)	4549	Partial	Australia:Macquarie Island, Southern Ocean	SAMN04530550	54.50 S 159.00 E	Taggert virus strain Ml14850 segment M, partial sequence	Ixodes uriae	Potential pathogen
KU925491.1	Virus	Nairoviridae	Orthonairovirus	Sakhalin orthonairovirus	ssRNA(-)	11859	Partial	Australia:Macquarie Island, Southern Ocean	SAMN04530550	54.50 S 159.00 E	Taggert virus strain Ml14850 segment L, partial sequence	Ixodes uriae	Potential pathogen
MK611995.1	Virus	Reoviridae	Aquareovirus	Chinook aquareovirus	dsRNA	1094	Partial	Canada:Indian Bay	SAMN11974801	49.11702825 N 125.7259955 W	Chinook aquareovirus isolate G674 segment 10 outer clamp protein gene, complete cds	Oncorhynchus tshawytscha	Potential pathogen
MK611994.1	Virus	Reoviridae	Aquareovirus	Chinook aquareovirus	dsRNA	1150	Partial	Canada:Indian Bay	SAMN11974801	49.11702825 N 125.7259955 W	Chinook aquareovirus isolate G674 segment 9 RNA binding protein gene, complete cds	Oncorhynchus tshawytscha	Potential pathogen
MK611996.1	Virus	Reoviridae	Aquareovirus	Chinook aquareovirus	dsRNA	1206	Partial	Canada:Indian Bay	SAMN11974801	49.11702825 N 125.7259955 W	Chinook aquareovirus isolate G674 segment 11 hypothetical protein gene, complete cds	Oncorhynchus tshawytscha	Potential pathogen
MK611993.1	Virus	Reoviridae	Aquareovirus	Chinook aquareovirus	dsRNA	1310	Partial	Canada:Indian Bay	SAMN11974801	49.11702825 N 125.7259955 W	Chinook aquareovirus isolate G674 segment 8 core clamp protein gene, complete cds	Oncorhynchus tshawytscha	Potential pathogen
MK611992.1	Virus	Reoviridae	Aquareovirus	Chinook aquareovirus	dsRNA	1668	Partial	Canada:Indian Bay	SAMN11974801	49.11702825 N 125.7259955 W	Chinook aquareovirus isolate G674 segment 7 fiber protein gene, complete cds	Oncorhynchus tshawytscha	Potential pathogen
MK611989.1	Virus	Reoviridae	Aquareovirus	Chinook aquareovirus	dsRNA	1962	Partial	Canada:Indian Bay	SAMN11974801	49.11702825 N 125.7259955 W	Chinook aquareovirus isolate G674 segment 4 nonstructural protein gene, complete cds	Oncorhynchus tshawytscha	Potential pathogen
MK611991.1	Virus	Reoviridae	Aquareovirus	Chinook aquareovirus	dsRNA	1992	Partial	Canada:Indian Bay	SAMN11974801	49.11702825 N 125.7259955 W	Chinook aquareovirus isolate G674 segment 6 outer shell protein gene, complete cds	Oncorhynchus tshawytscha	Potential pathogen
MK611990.1	Virus	Reoviridae	Aquareovirus	Chinook aquareovirus	dsRNA	2224	Partial	Canada:Indian Bay	SAMN11974801	49.11702825 N 125.7259955 W	Chinook aquareovirus isolate G674 segment 5 core NTPase gene, complete cds	Oncorhynchus tshawytscha	Potential pathogen
MK611988.1	Virus	Reoviridae	Aquareovirus	Chinook aquareovirus	dsRNA	3699	Partial	Canada:Indian Bay	SAMN11974801	49.11702825 N 125.7259955 W	Chinook aquareovirus isolate G674 segment 3 core shell protein gene, complete cds	Oncorhynchus tshawytscha	Potential pathogen
MK611987.1	Virus	Reoviridae	Aquareovirus	Chinook aquareovirus	dsRNA	3877	Partial	Canada:Indian Bay	SAMN11974801	49.11702825 N 125.7259955 W	Chinook aquareovirus isolate G674 segment 2 RNA-dependent RNA polymerase gene, complete cds	Oncorhynchus tshawytscha	Potential pathogen
MK611986.1	Virus	Reoviridae	Aquareovirus	Chinook aquareovirus	dsRNA	3916	Partial	Canada:Indian Bay	SAMN11974801	49.11702825 N 125.7259955 W	Chinook aquareovirus isolate G674 segment 1 core turret protein gene, complete cds	Oncorhynchus tshawytscha	Potential pathogen
MT366762.1	Virus	Ackermannviridae	Campanilevirus	Vibrio phage vB_VcorM_GR28A	dsDNA	154046	Complete	USA:Hawaii, Kailua-Kona	SAMN14135692		Vibrio phage vB_VcorM_GR28A	Vibrio coralliilyticus	Potential pathogen
MT366761.1	Virus	Myoviridae		Vibrio phage vB_VcorM_GR11A	dsDNA	194800	Complete	USA:Hawaii, Kailua-Kona	SAMN14135693		Vibrio phage vB_VcorM_GR11A	Vibrio coralliilyticus	Potential pathogen
MT366760.1	Virus	Myoviridae		Vibrio phage vB_VcorM_GR7B	dsDNA	207758	Complete	USA:Hawaii, Kailua-Kona	SAMN14135694		Vibrio phage vB_VcorM_GR7B	Vibrio coralliilyticus	Potential pathogen
MT408532.1	Virus	Myoviridae	Bellamyvirus	Synechococcus phage SynMITS9220M01	dsDNA	190237	Complete	Pacific Ocean:Equatorial Pacific	SAMN14600433	0 N 140 W	Synechococcus phage SynMITS9220M01	Synechococcus sp. MIT S9220	Potential pathogen
MW248108.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	281160	Partial	India:West coast, Maharashtra	SAMN16633090		White spot syndrome virus isolate CWG3, partial genome	Penaeus vannamei	Potential pathogen
MW248106.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	285601	Partial	India:West coast, Maharashtra	SAMN16633091		White spot syndrome virus isolate PG1, partial genome	Penaeus vannamei	Potential pathogen
MW248107.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	281813	Partial	India:East coast, Tamil Nadu	SAMN16633092		White spot syndrome virus isolate DBA1182, partial genome	Penaeus vannamei	Potential pathogen
OM339720.1	Virus	Phycodnaviridae		Emiliania huxleyi virus M1	dsDNA	411976	Complete	Norway:Raunefjorden at the Marine Biological Station Espegrend	SAMN24818830	60.269722 N 5.218611 E	Emiliania huxleyi virus M1, complete genome	Emiliania huxleyi	Potential pathogen
MF405918.2	Virus	Mimiviridae	Tupanvirus	Tupanvirus deep ocean	dsDNA	1439508	Complete	France			Tupanvirus deep ocean	Acanthamoeba sp.	Potential pathogen
AY542860.1	Virus	Birnaviridae	Aquabirnavirus	Infectious pancreatic necrosis virus	dsRNA	527	Partial	Canada			Infectious pancreatic necrosis virus isolate 17RR5 VP4 gene, partial cds	Anarhichas lupus	Potential pathogen
JF734359.1	Virus	Birnaviridae	Aquabirnavirus	Infectious pancreatic necrosis virus	dsRNA	498	Partial				Infectious pancreatic necrosis virus strain SpAa-IAusc1769.08 segment B RNA-dependent RNA polymerase (VP1) gene, partial cds	Anguilla anguilla	Potential pathogen
JF734360.1	Virus	Birnaviridae	Aquabirnavirus	Infectious pancreatic necrosis virus	dsRNA	498	Partial				Infectious pancreatic necrosis virus strain SpAa-IAusc1769.08 segment B RNA-dependent RNA polymerase (VP1) gene, partial cds	Anguilla anguilla	Potential pathogen
JF734358.1	Virus	Birnaviridae	Aquabirnavirus	Infectious pancreatic necrosis virus	dsRNA	498	Partial				Infectious pancreatic necrosis virus strain SpAa-IAusc1788.08 segment B RNA-dependent RNA polymerase (VP1) gene, partial cds	Anguilla anguilla	Potential pathogen
JF734357.1	Virus	Birnaviridae	Aquabirnavirus	Infectious pancreatic necrosis virus	dsRNA	498	Partial				Infectious pancreatic necrosis virus strain SpAa-IAusc1790.08 segment B RNA-dependent RNA polymerase (VP1) gene, partial cds	Anguilla anguilla	Potential pathogen
JF734363.1	Virus	Birnaviridae	Aquabirnavirus	Infectious pancreatic necrosis virus	dsRNA	498	Partial				Infectious pancreatic necrosis virus strain SpAa-IAusc456.08 segment B RNA-dependent RNA polymerase (VP1) gene, partial cds	Anguilla anguilla	Potential pathogen
JF734362.1	Virus	Birnaviridae	Aquabirnavirus	Infectious pancreatic necrosis virus	dsRNA	498	Partial				Infectious pancreatic necrosis virus strain SpAa-IAusc458.08 segment B RNA-dependent RNA polymerase (VP1) gene, partial cds	Anguilla anguilla	Potential pathogen
JF734361.1	Virus	Birnaviridae	Aquabirnavirus	Infectious pancreatic necrosis virus	dsRNA	498	Partial				Infectious pancreatic necrosis virus strain SpAa-IAusc475.08 segment B RNA-dependent RNA polymerase (VP1) gene, partial cds	Anguilla anguilla	Potential pathogen
JF734367.1	Virus	Birnaviridae	Aquabirnavirus	Infectious pancreatic necrosis virus	dsRNA	538	Partial				Infectious pancreatic necrosis virus strain SpAa-IAusc1748.08 segment A polyprotein gene, partial cds	Anguilla anguilla	Potential pathogen
JF734366.1	Virus	Birnaviridae	Aquabirnavirus	Infectious pancreatic necrosis virus	dsRNA	538	Partial				Infectious pancreatic necrosis virus strain SpAa-IAusc1769.08 segment A polyprotein gene, partial cds	Anguilla anguilla	Potential pathogen
JF734365.1	Virus	Birnaviridae	Aquabirnavirus	Infectious pancreatic necrosis virus	dsRNA	538	Partial				Infectious pancreatic necrosis virus strain SpAa-IAusc1788.08 segment A polyprotein gene, partial cds	Anguilla anguilla	Potential pathogen
JF734364.1	Virus	Birnaviridae	Aquabirnavirus	Infectious pancreatic necrosis virus	dsRNA	538	Partial				Infectious pancreatic necrosis virus strain SpAa-IAusc1790.08 segment A polyprotein gene, partial cds	Anguilla anguilla	Potential pathogen
JF734370.1	Virus	Birnaviridae	Aquabirnavirus	Infectious pancreatic necrosis virus	dsRNA	538	Partial				Infectious pancreatic necrosis virus strain SpAa-IAusc456.08 segment A polyprotein gene, partial cds	Anguilla anguilla	Potential pathogen
JF734369.1	Virus	Birnaviridae	Aquabirnavirus	Infectious pancreatic necrosis virus	dsRNA	538	Partial				Infectious pancreatic necrosis virus strain SpAa-IAusc458.08 segment A polyprotein gene, partial cds	Anguilla anguilla	Potential pathogen
JF734368.1	Virus	Birnaviridae	Aquabirnavirus	Infectious pancreatic necrosis virus	dsRNA	538	Partial				Infectious pancreatic necrosis virus strain SpAa-IAusc475.08 segment A polyprotein gene, partial cds	Anguilla anguilla	Potential pathogen
KF536955.1	Virus	Birnaviridae	Aquabirnavirus	Infectious pancreatic necrosis virus	dsRNA	310	Partial	South Korea:Asan			Infectious pancreatic necrosis virus isolate Kor-EAS02 polyprotein gene, partial cds	Anguilla japonica	Potential pathogen
KF536959.1	Virus	Birnaviridae	Aquabirnavirus	Infectious pancreatic necrosis virus	dsRNA	310	Partial	South Korea:Gochang			Infectious pancreatic necrosis virus isolate Kor-EGC01 polyprotein gene, partial cds	Anguilla japonica	Potential pathogen
KF536953.1	Virus	Birnaviridae	Aquabirnavirus	Infectious pancreatic necrosis virus	dsRNA	310	Partial	South Korea:Gangjin			Infectious pancreatic necrosis virus isolate Kor-EGJ09 polyprotein gene, partial cds	Anguilla japonica	Potential pathogen
KF536956.1	Virus	Birnaviridae	Aquabirnavirus	Infectious pancreatic necrosis virus	dsRNA	310	Partial	South Korea:Gokseong			Infectious pancreatic necrosis virus isolate Kor-EGS00 polyprotein gene, partial cds	Anguilla japonica	Potential pathogen
KF536957.1	Virus	Birnaviridae	Aquabirnavirus	Infectious pancreatic necrosis virus	dsRNA	310	Partial	South Korea:Gokseong			Infectious pancreatic necrosis virus isolate Kor-EGS01 polyprotein gene, partial cds	Anguilla japonica	Potential pathogen
KF536960.1	Virus	Birnaviridae	Aquabirnavirus	Infectious pancreatic necrosis virus	dsRNA	310	Partial	South Korea:Naju			Infectious pancreatic necrosis virus isolate Kor-ENJ01 polyprotein gene, partial cds	Anguilla japonica	Potential pathogen
KF536958.1	Virus	Birnaviridae	Aquabirnavirus	Infectious pancreatic necrosis virus	dsRNA	310	Partial	South Korea:Suncheon			Infectious pancreatic necrosis virus isolate Kor-ESC00 polyprotein gene, partial cds	Anguilla japonica	Potential pathogen
KF536961.1	Virus	Birnaviridae	Aquabirnavirus	Infectious pancreatic necrosis virus	dsRNA	310	Partial	South Korea:Yeocheon			Infectious pancreatic necrosis virus isolate Kor-EYC02 polyprotein gene, partial cds	Anguilla japonica	Potential pathogen
KF536954.1	Virus	Birnaviridae	Aquabirnavirus	Infectious pancreatic necrosis virus	dsRNA	310	Partial	South Korea:Yeonggwang			Infectious pancreatic necrosis virus isolate Kor-EYG02 polyprotein gene, partial cds	Anguilla japonica	Potential pathogen
KY315691.1	Virus	Birnaviridae	Aquabirnavirus	Infectious pancreatic necrosis virus	dsRNA	2477	Partial	Taiwan			Infectious pancreatic necrosis virus strain MEIPNV1310 VP1 gene, partial cds	Anguilla marmorata	Potential pathogen
KY315690.1	Virus	Birnaviridae	Aquabirnavirus	Infectious pancreatic necrosis virus	dsRNA	3070	Partial	Taiwan			Infectious pancreatic necrosis virus strain MEIPNV1310 segment A, complete sequence	Anguilla marmorata	Potential pathogen
KP335195.1	Virus	Reoviridae	Aquareovirus	Marbled eel reovirus	dsRNA	200	Partial	Taiwan:Pingtung			Marbled eel reovirus isolate MERV-1 RNA-dependent RNA polymerase gene, partial cds	Anguilla marmorata	Potential pathogen
MH352448.1	Virus	Reoviridae	Aquareovirus	Marbled eel reovirus	dsRNA	733	Complete	Taiwan			Marbled eel reovirus isolate MERV-1 segment 11, complete sequence	Anguilla marmorata	Potential pathogen
MH352447.1	Virus	Reoviridae	Aquareovirus	Marbled eel reovirus	dsRNA	994	Complete	Taiwan			Marbled eel reovirus isolate MERV-1 segment 10, complete sequence	Anguilla marmorata	Potential pathogen
MH352446.1	Virus	Reoviridae	Aquareovirus	Marbled eel reovirus	dsRNA	1102	Complete	Taiwan			Marbled eel reovirus isolate MERV-1 segment 9, complete sequence	Anguilla marmorata	Potential pathogen
MH352444.1	Virus	Reoviridae	Aquareovirus	Marbled eel reovirus	dsRNA	1530	Complete	Taiwan			Marbled eel reovirus isolate MERV-1 segment 7, complete sequence	Anguilla marmorata	Potential pathogen
MH352445.1	Virus	Reoviridae	Aquareovirus	Marbled eel reovirus	dsRNA	2026	Complete	Taiwan			Marbled eel reovirus isolate MERV-1 segment 8, complete sequence	Anguilla marmorata	Potential pathogen
MH352443.1	Virus	Reoviridae	Aquareovirus	Marbled eel reovirus	dsRNA	2177	Complete	Taiwan			Marbled eel reovirus isolate MERV-1 segment 6, complete sequence	Anguilla marmorata	Potential pathogen
MH352442.1	Virus	Reoviridae	Aquareovirus	Marbled eel reovirus	dsRNA	2336	Complete	Taiwan			Marbled eel reovirus isolate MERV-1 segment 5, complete sequence	Anguilla marmorata	Potential pathogen
MH352441.1	Virus	Reoviridae	Aquareovirus	Marbled eel reovirus	dsRNA	2389	Complete	Taiwan			Marbled eel reovirus isolate MERV-1 segment 4, complete sequence	Anguilla marmorata	Potential pathogen
MH352440.1	Virus	Reoviridae	Aquareovirus	Marbled eel reovirus	dsRNA	3752	Complete	Taiwan			Marbled eel reovirus isolate MERV-1 segment 3, complete sequence	Anguilla marmorata	Potential pathogen
MH352439.1	Virus	Reoviridae	Aquareovirus	Marbled eel reovirus	dsRNA	3887	Complete	Taiwan			Marbled eel reovirus isolate MERV-1 segment 2, complete sequence	Anguilla marmorata	Potential pathogen
MH352438.1	Virus	Reoviridae	Aquareovirus	Marbled eel reovirus	dsRNA	4096	Complete	Taiwan			Marbled eel reovirus isolate MERV-1 segment 1, complete sequence	Anguilla marmorata	Potential pathogen
MK908011.1	Virus	Poxviridae	Parapoxvirus	Grey sealpox virus	dsDNA	533	Partial	Norway:Bouvet Island, Southern Ocean			Seal parapoxvirus isolate Pup 15 major envelope protein (B2L) gene, partial cds	Arctocephalus gazella	Potential pathogen
MN078153.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	301	Partial	Thailand			White spot syndrome virus isolate ECE1 hypothetical protein gene, partial cds	Astacoidea	Potential pathogen
KU556689.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	366	Partial	India			White spot syndrome virus isolate PONNERY_TAMIL NADU envelope protein (VP19) gene, complete cds	Astacoidea	Potential pathogen
KY785180.1	Virus	Parvoviridae	Aquambidensovirus	Asteroid aquambidensovirus 1	ssDNA(+/-)	285	Partial	USA:Atlantic coast			Sea star-associated densovirus clone AfaDVVP1.1 structural protein VP1 gene, partial cds	Asterias forbesi	Potential pathogen
KY785181.1	Virus	Parvoviridae	Aquambidensovirus	Asteroid aquambidensovirus 1	ssDNA(+/-)	285	Partial	USA:Atlantic coast			Sea star-associated densovirus clone AfaDVVP1.2 structural protein VP1 gene, partial cds	Asterias forbesi	Potential pathogen
KM052275.1	Virus	Parvoviridae	Aquambidensovirus	Asteroid aquambidensovirus 1	ssDNA(+/-)	5050	Partial	USA			Sea star-associated densovirus structural protein and nonstructural protein genes, complete cds	Asteroidea	Potential pathogen
NC_038532.1	Virus	Parvoviridae	Aquambidensovirus	Asteroid aquambidensovirus 1	ssDNA(+/-)	5050	Complete	USA			Sea star-associated densovirus structural protein and nonstructural protein genes, complete cds	Asteroidea	Potential pathogen
MK522037.1	Virus	Phycodnaviridae	Prasinovirus	Bathycoccus sp. RCC716 virus 1	dsDNA	4639	Partial	Bermuda:North Atlantic Ocean, offshore			Bathycoccus sp. RCC716 virus 1 BII-V1 scaffold 4 genomic sequence	Bathycoccus	Potential pathogen
MK522036.1	Virus	Phycodnaviridae	Prasinovirus	Bathycoccus sp. RCC716 virus 1	dsDNA	7190	Partial	Bermuda:North Atlantic Ocean, offshore			Bathycoccus sp. RCC716 virus 1 BII-V1 scaffold 3 genomic sequence	Bathycoccus	Potential pathogen
MK522035.1	Virus	Phycodnaviridae	Prasinovirus	Bathycoccus sp. RCC716 virus 1	dsDNA	41130	Partial	Bermuda:North Atlantic Ocean, offshore			Bathycoccus sp. RCC716 virus 1 isolate BII-V1 clone scaffold 2	Bathycoccus	Potential pathogen
MK522034.1	Virus	Phycodnaviridae	Prasinovirus	Bathycoccus sp. RCC716 virus 1	dsDNA	121467	Partial	Bermuda:North Atlantic Ocean, offshore			Bathycoccus sp. RCC716 virus 1 isolate BII-V1 clone scaffold 1	Bathycoccus	Potential pathogen
MK522038.1	Virus	Phycodnaviridae	Prasinovirus	Bathycoccus sp. RCC716 virus 2	dsDNA	207870	Partial	Bermuda:North Atlantic Ocean, offshore			Bathycoccus sp. RCC716 virus 2 isolate BII-V2	Bathycoccus	Potential pathogen
MK522039.1	Virus	Phycodnaviridae	Prasinovirus	Bathycoccus sp. RCC716 virus 3	dsDNA	211597	Complete	Bermuda:North Atlantic Ocean, offshore			Bathycoccus sp. RCC716 virus 3 isolate BII-V3	Bathycoccus	Potential pathogen
HQ448931.1	Virus	Reoviridae	Aquareovirus	White bream reovirus	dsRNA	1002	Partial	Austria			White bream reovirus strain A-127/06 RNA-dependent RNA polymerase gene, partial cds	Blicca bjoerkna	Potential pathogen
KC189610.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	570	Partial	Mexico			Shrimp white spot syndrome virus isolate jaiba wsv285 gene, partial cds	Callinectes arcuatus	Potential pathogen
MW662104.1	Virus	Birnaviridae	Aquabirnavirus	Infectious pancreatic necrosis virus	dsRNA	1326	Partial	China			Infectious pancreatic necrosis virus isolate HLJ2019-5 VP2 protein gene, partial cds	Carassius carassius	Potential pathogen
AM889023.1	Virus	Birnaviridae	Aquabirnavirus	Infectious pancreatic necrosis virus	dsRNA	226	Partial				Infectious pancreatic necrosis virus partial VP1 gene for RNA dependent RNA polymerase, segment B, isolate BSNV, genomic RNA	Channa lucius	Potential pathogen
AM889016.1	Virus	Birnaviridae	Aquabirnavirus	Infectious pancreatic necrosis virus	dsRNA	226	Partial	Singapore			Infectious pancreatic necrosis virus partial VP1 gene for RNA dependent RNA polymerase, segment B, isolate S1, genomic RNA	Channa micropeltes	Potential pathogen
AY026485.1	Virus	Birnaviridae	Aquabirnavirus	Infectious pancreatic necrosis virus	dsRNA	1616	Partial				Infectious pancreatic necrosis virus strain DPL segment A structural protein VP2 gene, partial cds	Channidae	Potential pathogen
KC417309.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	318	Partial	Mexico:Tamaulipas			White spot syndrome virus isolate TAM2006 wsv378 gene, partial cds	Cherax quadricarinatus	Potential pathogen
EF078890.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	417	Partial	China			Shrimp white spot syndrome virus unknown gene	Cherax quadricarinatus	Potential pathogen
MT543321.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	830	Partial	South Korea			White spot syndrome virus isolate Cq/2020/20-004 VP664 gene, partial cds	Cherax quadricarinatus	Potential pathogen
MT543322.1	Virus	Nimaviridae	Whispovirus	White spot syndrome virus	dsDNA	851	Partial	South Korea			White spot syndrome virus isolate Cq/2020/20-002 VP664 gene, partial cds	Cherax quadricarinatus	Potential pathogen
